Entry,Gene names  (primary ),Ambig,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
Q55439,NA,No,ATPbroad_T,-0.8620112578442435,0.29594837537214724,-2.912708193651299,6,0.026885384404464308,0.16131230642678585,NA,0,0
P74259,NA,No,ATPbroad_T,-0.08873332642185867,0.12130264019741188,-0.7315036694786787,6,0.49204082195663146,0.6468198810054128,NA,0,0
P72748,NA,No,ATPbroad_T,0.18485418735986292,0.06893587853526842,2.6815381378695173,6,0.03646134093808806,0.19601789667090908,NA,0,0
Q55129,NA,No,ATPbroad_T,0.03622573224973027,0.14701007419137616,0.24641666531350764,6,0.8135735619943456,0.8871030534115191,NA,0,0
P74108,NA,No,ATPbroad_T,0.5670124395973599,0.12012735732689066,4.72009417517115,6,0.003257692512018462,0.05070669214359171,NA,0,0
P73655,trpS,No,ATPbroad_T,0.06166974416617552,0.04779958518918575,1.2901732080329387,6,0.2444794790164626,0.43115100240341686,NA,0,0
Q6ZEQ1,NA,No,ATPbroad_T,0.009102695229231282,0.1685201181241738,0.05401548094408511,6,0.9586764522588469,0.9795860507927024,NA,0,0
P73940,hhoB,No,ATPbroad_T,-0.009153849479007712,0.14113109677469066,-0.0648606132043416,6,0.9503920099135077,0.9769808713066788,NA,0,0
P73270,speB2,No,ATPbroad_T,-0.5924036786627147,0.2797188633033101,-2.117853875376107,6,0.07851593363923803,0.269412500730165,NA,0,0
Q55574,pyrE,No,ATPbroad_T,0.668135174238459,0.18582261380325366,3.59555363345535,6,0.011427364678645802,0.10059827594152125,NA,0,0
Q55762,NA,No,ATPbroad_T,-0.18070217471542158,0.34648928443304516,-0.5215231259203345,6,0.6206851332529046,0.7575179921745677,NA,0,0
Q55853,NA,No,ATPbroad_T,-1.0626541328868535,0.6245510339253438,-1.7014688554880828,6,0.13975596006654434,0.33788038593143677,NA,0,0
Q6YRQ4,NA,No,ATPbroad_T,-0.34267900008342506,0.25466892550112025,-1.345586232828071,6,0.22705531295573467,0.420443803645619,NA,0,0
P73374,NA,No,ATPbroad_T,-0.15444572708588628,0.19163499598799746,-0.8059369651645442,6,0.4510309857636483,0.6139509235870194,NA,0,0
